metabolite;Time;Labeling;Treatment;N;mean;sd;se
1;Aconitate;15;L;C;5;0.0363404107122707;0.0170257871293371;0.00761416347832773
2;Aconitate;15;L;Fe;4;0.0454043635016248;0.00675900597693134;0.00337950298846567
3;Aconitate;15;L;P;5;0.015067255473953;0.00714894515782415;0.00319710546806255
4;Aconitate;15;U;C;5;0.0326804049756637;0.0215555043250082;0.0096399145920018
5;Aconitate;15;U;Fe;5;0.0255610863527345;0.0133256379541013;0.00595940646178437
6;Aconitate;15;U;P;4;0.0238678425786847;0.0176560410534225;0.00882802052671125
7;Aconitate;30;L;C;4;0.0322912706488187;0.0123252516449177;0.00616262582245886
8;Aconitate;30;L;Fe;5;0.0481694682714818;0.0164299825652255;0.00734771157699612
9;Aconitate;30;L;P;5;0.0197770831187341;0.00458990988824618;0.00205267010414339
10;Aconitate;30;U;C;5;0.0165677155797558;0.0107697746177479;0.0048163896295272
11;Aconitate;30;U;Fe;5;0.0422848665210514;0.0154835213433716;0.00692444125096955
12;Aconitate;30;U;P;5;0.0127058710870794;0.00542425338927234;0.00242579986111932
13;Aconitate;60;L;C;5;0.0507705208290212;0.0382094340042007;0.017087778363037
14;Aconitate;60;L;Fe;5;0.0693614500623367;0.0171899127599148;0.00768756269169212
15;Aconitate;60;L;P;5;0.0275517431371873;0.0148126162561735;0.00662440337468446
16;Aconitate;60;U;C;5;0.035476740990833;0.0100602198460736;0.00449906708888259
17;Aconitate;60;U;Fe;5;0.0317481138285701;0.00730516754315861;0.00326697024270556
18;Aconitate;60;U;P;5;0.0149520759697291;0.00555610255442939;0.00248476460033287
19;Aconitate;120;L;C;5;0.0818497754735493;0.0199304984735825;0.00891318988247724
20;Aconitate;120;L;Fe;5;0.0505273936836075;0.0145384837756455;0.00650180760242423
21;Aconitate;120;L;P;5;0.0254999062592987;0.0100192448201992;0.00448074250023559
22;Aconitate;120;U;C;5;0.0411825004084969;0.0154000607634154;0.00688711654492481
23;Aconitate;120;U;Fe;5;0.0462701024021714;0.0128741512391791;0.00575749546468354
24;Aconitate;120;U;P;5;0.0171901867898843;0.00474000430257957;0.00211979436684188
25;Citrate;15;L;C;5;0.00687442082558942;0.00367909163427126;0.00164533979793627
26;Citrate;15;L;Fe;4;0.00829534647952912;0.00720486332953326;0.00360243166476663
27;Citrate;15;L;P;5;0.000123257796132497;0.000272614339202334;0.000121916838819521
28;Citrate;15;U;C;5;0;0;0
29;Citrate;15;U;Fe;5;0;0;0
30;Citrate;15;U;P;4;0.000886707215152767;0.00177341443030553;0.000886707215152767
31;Citrate;30;L;C;4;0.0129664339520726;0.0108872501633526;0.00544362508167631
32;Citrate;30;L;Fe;5;0.00543090965205238;0.00450787747229031;0.00201598409245621
33;Citrate;30;L;P;5;0;0;0
34;Citrate;30;U;C;5;0;0;0
35;Citrate;30;U;Fe;5;0;0;0
36;Citrate;30;U;P;5;0;0;0
37;Citrate;60;L;C;5;0.0143916215804272;0.012166382612093;0.00544097171218228
38;Citrate;60;L;Fe;5;0.0072604344473073;0.00464417960321369;0.00207694025850076
39;Citrate;60;L;P;5;0.000689873432349579;0.000934106102946626;0.000417744948877214
40;Citrate;60;U;C;5;2.58602320630314e-05;5.78252368068578e-05;2.58602320630314e-05
41;Citrate;60;U;Fe;5;0;0;0
42;Citrate;60;U;P;5;0;0;0
43;Citrate;120;L;C;5;0.0191901128376984;0.00233119771702698;0.00104254331285293
44;Citrate;120;L;Fe;5;0.00906979663214451;0.00588909902418913;0.00263368514886291
45;Citrate;120;L;P;5;0.000643706687346657;0.000896784765998795;0.000401054339591909
46;Citrate;120;U;C;5;0;0;0
47;Citrate;120;U;Fe;5;0;0;0
48;Citrate;120;U;P;5;0;0;0
49;Fumarate;15;L;C;5;1.34402536091686e-06;3.00533207049379e-06;1.34402536091686e-06
50;Fumarate;15;L;Fe;4;0;0;0
51;Fumarate;15;L;P;5;0;0;0
52;Fumarate;15;U;C;5;0;0;0
53;Fumarate;15;U;Fe;5;0;0;0
54;Fumarate;15;U;P;4;0;0;0
55;Fumarate;30;L;C;4;0;0;0
56;Fumarate;30;L;Fe;5;0;0;0
57;Fumarate;30;L;P;5;0;0;0
58;Fumarate;30;U;C;5;0;0;0
59;Fumarate;30;U;Fe;5;0;0;0
60;Fumarate;30;U;P;5;0;0;0
61;Fumarate;60;L;C;5;6.23698066223828e-05;0.000139463127351164;6.23698066223828e-05
62;Fumarate;60;L;Fe;5;0;0;0
